# Geodesic pattern 24 class 2 npts 17282 area_per_point= 2.3870 
# From geodesic_tiling_pattern_npts17282.txt
# http://www.mpe.mpg.de/~4most/4FS/geodesic_pattern_list.html
# As adopted by BLISS and DeCALS
# RA            DEC
110.905157   30.000000
111.968360   27.526601
112.984678   25.045473
113.960607   22.557706
114.901896   20.064259
115.813685   17.565984
116.700611   15.063649
117.566902   12.557948
118.416459   10.049521
119.252922    7.538963
120.079730    5.026835
120.900180    2.513674
 87.213518   56.112303
 84.728209   53.886105
 82.496754   51.613800
 80.479837   49.303250
 78.644849   46.960759
 76.964707   44.591422
 75.416851   42.199390
 73.982398   39.788072
 72.645461   37.360293
 71.392590   34.918413
 70.212328   32.464419
 69.094843   30.000000
 68.031640   27.526601
 67.015322   25.045473
 66.039393   22.557706
 65.098104   20.064259
 64.186315   17.565984
 63.299389   15.063649
 62.433098   12.557948
 61.583541   10.049521
 60.747078    7.538963
 59.920270    5.026835
 59.099820    2.513674
 94.886023   59.007827
 99.953953   59.541950
105.153785   59.874637
110.425515   59.999131
115.703325   59.912826
120.920896   59.617533
126.016812   59.119294
130.939018   58.427794
135.647595   57.555496
140.115660   56.516666
144.328647   55.326433
148.282526   54.000000
151.981522   52.552051
155.435806   50.996353
158.659434   49.345531
161.668681   47.610976
164.480780   45.802844
167.113033   43.930116
169.582220   42.000691
171.904242   40.021494
174.093925   37.998585
176.164947   35.937273
178.129832   33.842208
 85.113977   59.007827
 80.046047   59.541950
 74.846215   59.874637
 69.574485   59.999131
 64.296675   59.912826
 59.079104   59.617533
 53.983188   59.119294
 49.060982   58.427794
 44.352404   57.555496
 39.884340   56.516666
 35.671353   55.326433
 31.717474   54.000000
 28.018478   52.552051
 24.564194   50.996353
 21.340566   49.345531
 18.331319   47.610976
 15.519220   45.802844
 12.886967   43.930116
 10.417780   42.000691
  8.095758   40.021494
  5.906075   37.998585
  3.835053   35.937273
  1.870168   33.842208
 92.786482  -56.112303
 95.271791  -53.886105
 97.503246  -51.613800
 99.520163  -49.303250
101.355151  -46.960759
103.035293  -44.591422
104.583149  -42.199390
106.017602  -39.788072
107.354539  -37.360293
108.607410  -34.918413
109.787672  -32.464419
110.905157  -30.000000
111.968360  -27.526601
112.984678  -25.045473
113.960607  -22.557706
114.901896  -20.064259
115.813685  -17.565984
116.700611  -15.063649
117.566902  -12.557948
118.416459  -10.049521
119.252922   -7.538963
120.079730   -5.026835
120.900180   -2.513674
 87.213518  -56.112303
 84.728209  -53.886105
 82.496754  -51.613800
 80.479837  -49.303250
 78.644849  -46.960759
 76.964707  -44.591422
 75.416851  -42.199390
 73.982398  -39.788072
 72.645461  -37.360293
 71.392590  -34.918413
 70.212328  -32.464419
 69.094843  -30.000000
 68.031640  -27.526601
 67.015322  -25.045473
 66.039393  -22.557706
 65.098104  -20.064259
 64.186315  -17.565984
 63.299389  -15.063649
 62.433098  -12.557948
 61.583541  -10.049521
 60.747078   -7.538963
 59.920270   -5.026835
 59.099820   -2.513674
 94.886023  -59.007827
 99.953953  -59.541950
105.153785  -59.874637
110.425515  -59.999131
115.703325  -59.912826
120.920896  -59.617533
126.016812  -59.119294
130.939018  -58.427794
135.647595  -57.555496
140.115660  -56.516666
144.328647  -55.326433
148.282526  -54.000000
151.981522  -52.552051
155.435806  -50.996353
158.659434  -49.345531
161.668681  -47.610976
164.480780  -45.802844
167.113033  -43.930116
169.582220  -42.000691
171.904242  -40.021494
174.093925  -37.998585
176.164947  -35.937273
178.129832  -33.842208
 85.113977  -59.007827
 80.046047  -59.541950
 74.846215  -59.874637
 69.574485  -59.999131
 64.296675  -59.912826
 59.079104  -59.617533
 53.983188  -59.119294
 49.060982  -58.427794
 44.352404  -57.555496
 39.884340  -56.516666
 35.671353  -55.326433
 31.717474  -54.000000
 28.018478  -52.552051
 24.564194  -50.996353
 21.340566  -49.345531
 18.331319  -47.610976
 15.519220  -45.802844
 12.886967  -43.930116
 10.417780  -42.000691
  8.095758  -40.021494
  5.906075  -37.998585
  3.835053  -35.937273
  1.870168  -33.842208
240.925648    0.000000
243.568771    0.000000
246.211894    0.000000
248.855017    0.000000
251.498140    0.000000
254.141263    0.000000
256.784386    0.000000
259.427508    0.000000
262.070631    0.000000
264.713754    0.000000
267.356877    0.000000
270.000000    0.000000
272.643123    0.000000
275.286246    0.000000
277.929369    0.000000
280.572492    0.000000
283.215614    0.000000
285.858737    0.000000
288.501860    0.000000
291.144983    0.000000
293.788106    0.000000
296.431229    0.000000
299.074351    0.000000
236.143670    1.553228
234.001670    3.104290
231.853380    4.651009
229.695653    6.191190
227.525341    7.722609
225.339297    9.243003
223.134374   10.750062
220.907435   12.241417
218.655355   13.714636
216.375036   15.167213
214.063412   16.596560
211.717474   18.000000
209.334286   19.374764
206.911012   20.717986
204.444945   22.026697
